,c1,c2,per,but,fuc,hex,neo,pra,vio,ddx,all,dtx,lut,zea,b
1355,0.03681,0.06851,0.01431,0,0.20041,0,0.00665,0,0.00256,0.03476,0.07669,0.00767,0.00256,0.00358,0.06595
1355.5,0.04041,0.07212,0.01483,0,0.19949,0,0.00767,0,0.00358,0.03632,0.07826,0.00767,0.00153,0.00307,0.06752
1356,0.03899,0.08132,0.05087,0,0.24397,0,0.00483,0,0.00186,0.0479,0.03082,0.00743,0,0.00149,0.05087
1357,0.01935,0.08452,0.14065,0,0.11613,0,0.01355,0,0.01355,0.08323,0.10387,0.00839,0.00387,0.00903,0.1
1358,0.04631,0.0857,0.00788,0,0.30277,0,0.00221,0,0.00158,0.03308,0.01922,0.00315,0,0,0.0252
1359,0.05309,0.08915,0.02204,0,0.29282,0,0.00401,0,0.00234,0.04207,0.0227,0.01202,0.00167,0.00301,0.03372
1360,0.05472,0.08518,0,0,0.30435,0,0.00414,0,0.00266,0.03727,0.01124,0.0068,0.00148,0.00325,0.0207
1361,0.04511,0.08921,0.06543,0,0.25747,0,0.00711,0,0.00549,0.05304,0.02032,0.00406,0.00244,0.00142,0.06706
1362,0.04943,0.09473,0.03659,0,0.31276,0,0.00511,0,0.00387,0.0464,0.0098,0.00262,0.00138,0.00069,0.04667
1363,0.04893,0.0928,0.02959,0,0.32629,0,0.00498,0,0.00366,0.04339,0.00733,0.00272,0.00141,0.00085,0.04583
1364,0.05272,0.08736,0.02375,0,0.30634,0,0.0045,0,0.00306,0.0404,0.0099,0.00468,0.00108,0.0009,0.04247
1365,0.05327,0.08864,0.02498,0,0.30605,0,0.00459,0,0.00312,0.04005,0.01001,0.00505,0.00138,0.00101,0.04326
1366,0.05098,0.10516,0.03012,0.00185,0.31795,0.0021,0.00568,0,0.00469,0.07949,0.03863,0.01333,0.00185,0.0021,0.03987
1367,0.04142,0.10062,0.04234,0,0.32478,0.00205,0.00603,0,0.00511,0.06545,0.03569,0.01115,0.00164,0.00184,0.05093
1368,0.04304,0.10726,0.05677,0,0.30682,0.00207,0.00524,0,0.00317,0.07119,0.05001,0.01276,0.00138,0.00207,0.0398
1369,0.04156,0.0987,0.01986,0,0.36891,0.00168,0.00512,0,0.00275,0.06952,0.02131,0.01008,0.00099,0.00138,0.03552
1370,0.04126,0.10547,0.01264,0,0.36982,0.00299,0.00532,0,0.00349,0.07569,0.04458,0.01264,0.0015,0.00299,0.04409
1371,0.05462,0.17189,0.00884,0,0.3743,0.00884,0.00723,0,0.00321,0.03534,0.03052,0.01767,0.00241,0.01124,0.07791
1372,0.02128,0.12708,0.023,0,0.22254,0.00748,0.0069,0,0.00518,0.02818,0.09718,0.0092,0.00173,0.00575,0.06901
1373,0.0127,0.1141,0.02368,0,0.18019,0.00581,0.00753,0,0.00474,0.02282,0.10183,0.00667,0.00151,0.00215,0.07772
1374,0.02477,0.09511,0.0177,0.00221,0.21124,0.00288,0.00885,0,0.00664,0.02964,0.04822,0.0042,0.00177,0.00155,0.10197
1375,0.03618,0.1042,0,0,0.30921,0,0.00531,0,0.00289,0.02846,0.01978,0.00241,0,0.00289,0.05548
1376,0.04804,0.10138,0.02914,0,0.30476,0.00217,0.00554,0,0.00433,0.07574,0.03576,0.01385,0.00169,0.00181,0.03877
